Function Name,Real Time,CPU Time
generate_pdf,0.00,0.00
create_indexes,0.07,0.00
fetch_data_async,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_and_process_data,0.00,0.00
fetch_data_chunk,0.00,0.00
fetch_data_chunk,0.00,0.00
fetch_data_chunk,0.00,0.00
fetch_data_chunk,0.00,0.00
fetch_data_chunk,0.00,0.00
fetch_data_chunk,0.00,0.00
fetch_data_chunk,0.00,0.00
fetch_data_chunk,0.00,0.00
fetch_data_chunk,0.00,0.00
fetch_data_chunk,0.00,0.00
fetch_data_chunk,0.00,0.00
fetch_data_chunk,0.00,0.00
fetch_data_chunk,0.00,0.00
fetch_data_chunk,0.00,0.00
fetch_data_chunk,0.00,0.00
fetch_data_chunk,0.00,0.00
fetch_data_chunk,0.00,0.00
fetch_data_chunk,0.00,0.00
fetch_data_chunk,0.00,0.00
fetch_data_chunk,0.00,0.00
process_ecg,0.22,0.14
process_ecg_data_chunk,0.22,0.14
process_ecg,0.15,0.11
process_ecg_data_chunk,0.15,0.11
process_ecg,0.25,0.16
